Facility Name,CMS Certification Number (CCN),Alternate CCN,Address,City,State,Zip Code,Network,VAT Catheter Measure Score,VAT Catheter Achievement Measure Rate,VAT Fistula Measure Score Applied,Kt/V Comprehensive Achievement Measure Rate,ICH CAHPS Neph Comm and Caring Measure Score Applied,ICH CAHPS Quality of Dialysis Care and Ops Achievement Rate,ICH CAHPS Quality of Dialysis Care and Ops Improvement Rate,ICH CAHPS Quality of Dialysis Care and Ops Measure Score Applied,ICH CAHPS Providing Info to Patients Achievement Rate,ICH CAHPS Providing Info to Patients Improvement Rate,ICH CAHPS Providing Info to Patients Measure Score Applied,ICH CAHPS Overall Rating of Neph Achievement Rate,ICH CAHPS Overall Rating of Neph Improvement Rate,ICH CAHPS Overall Rating of Neph Measure Score Applied,ICH CAHPS Overall Rating of Dialysis Staff Achievement Rate,ICH CAHPS Overall Rating of Dialysis Staff Improvement Rate,ICH CAHPS Overall Rating of Dialysis Staff Measure Score Applied,ICH CAHPS Overall Rating of Dialysis Facility Achievement Rate,ICH CAHPS Overall Rating of Dialysis Facility Improvement Rate,ICH CAHPS Overall Rating of Dialysis Facility Measure Score Applied,Serum Phosphorus Measure Score,Serum Phosphorus Reason for No Score (See Footnotes File),National Average Serum Phosphorus Measure Score,Anemia Management Measure Score,Anemia Management Reason for No Score (See Footnotes File),National Average Anemia Management Measure Score,Standardized Readmission Ratio (SRR) Measure Score,SRR Reason for No Score (See Footnotes File),SRR Achievement Measure Ratio,Number of Index Discharges in SRR Achievement Period,SRR Achievement Period Numerator,SRR Achievement Period Denominator,SRR Improvement Measure Ratio,SRR Improvement Period Numerator,SRR Improvement Period Denominator,SRR Measure Score Applied,National Average SRR Measure Score,National Average SHR Measure Score,Total Performance Score,PY2020 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2018",Date of Ownership Record Update
292545 LIBERTY DIALYSIS - SPARKS (FMC),292545,-,5915 S LOS ALTOS PKWY ,SPARKS,NV,89436,15,5,9.93%,Achievement,98.42%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,10,-,0.388,28,3,7.726,1.267,12,9.474,Achievement,5,5,91,No Reduction,25-01-2012,FRESENIUS MEDICAL CARE,04-08-2014
292546 WINNEMUCCA DIALYSIS (DVA),292546,-,830 FAIRGROUNDS ROAD ,WINNEMUCCA,NV,89445,15,9,3.18%,Achievement,96.86%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,6,-,9,10,-,10,10,-,0.253,15,1,3.948,1.037,5,4.823,Achievement,5,5,79,No Reduction,26-09-2012,DAVITA,22-08-2012
292547 SPRING VALLEY DIALYSIS (DVA),292547,-,3855 S JONES BLVD ,LAS VEGAS,NV,89103,15,6,9.07%,Achievement,94.44%,Improvement,52.67%,53.73%,Achievement,73.36%,72.55%,Achievement,43.13%,29.66%,Improvement,52.46%,50.39%,Achievement,47.96%,46.81%,Achievement,4,-,9,10,-,10,0,-,1.399,115,40,28.599,1.483,49,33.043,Achievement,5,5,45,1.00%,10-10-2012,DAVITA,15-08-2012
292548 CHEYENNE DIALYSIS (DVA),292548,-,3291 N BUFFALO DR ,LAS VEGAS,NV,89129,15,6,8.38%,Achievement,95.87%,Improvement,69.80%,67.29%,Achievement,89.78%,87.40%,Achievement,49.47%,42.45%,Improvement,80.42%,76.22%,Achievement,80.15%,82.43%,Achievement,7,-,9,10,-,10,0,-,1.339,199,77,57.504,1.023,55,53.77,Achievement,5,5,52,0.50%,16-10-2012,DAVITA,01-08-2012
292549 NORTHEAST LAS VEGAS (FMC),292549,-,321 N. NELLIS BLVD SUITE 120 ,LAS VEGAS,NV,89110,15,4,10.98%,Achievement,99.56%,Achievement,58.65%,60.18%,Achievement,75.30%,74.32%,Achievement,34.50%,41.40%,Achievement,48.60%,59.84%,Achievement,55.92%,66.90%,Achievement,10,-,9,10,-,10,2,-,1.152,159,48,41.662,0.939,40,42.612,Achievement,5,5,52,0.50%,11-04-2013,FRESENIUS MEDICAL CARE,22-07-2014
292550 SANDERLING DIALYSIS CENTER,292550,-,701 E 15TH ST ,ELY,NV,89301,15,7,7.38%,Achievement,94.84%,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,8,-,9,10,-,10,8,-,0.755,22,5,5.835,No Ratio,N/A,N/A,Achievement,5,5,45,1.00%,17-07-2014,OTHER,17-07-2014
292551 FMC-OASIS,292551,-,1661 W HORIZON RIDGE PARKWAY SUITE 101,HENDERSON,NV,89012,15,0,24.68%,Achievement,96.80%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,7,-,9,10,-,10,4,-,1.005,91,23,22.887,1.006,16,15.902,Achievement,5,5,37,1.50%,27-01-2016,FRESENIUS MEDICAL CARE,09-11-2016
292552-PELICAN POINT DIALYSIS,292552,-,7316 W CHEYENNE AVE ,LAS VEGAS,NV,89129,15,7,11.46%,Improvement,95.94%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,6,-,9,10,-,10,5,-,0.93,96,24,25.81,0.722,7,9.7,Achievement,5,5,56,0.50%,05-04-2017,DAVITA,05-04-2017
292553-LAKE MEAD DIALYSIS CENTER,292553,-,713 E LAKE MEAD BLVD ,NORTH LAS VEGAS,NV,89030,15,6,8.25%,Achievement,96.04%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,7,-,9,10,-,10,0,-,1.399,119,44,31.45,0.931,6,6.444,Achievement,5,5,50,0.50%,21-06-2017,DAVITA,17-09-2017
292554-EAST SUNRISE DIALYSIS,292554,-,1750 E DESERT INN ROAD STE 100,LAS VEGAS,NV,89169,15,0,54.00%,Achievement,93.73%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,7,-,9,10,-,10,2,-,1.378,14,19,13.785,1.688,5,2.963,Improvement,5,5,31,1.50%,21-09-2017,DAVITA,28-12-2017
THE DISTRICT DIALYSIS,292555,-,2300 CORPORATE CIRCLE STE 100,HENDERSON,NV,89074,15,No Score,No Rate,N/A,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Score,"1, 2",9,No Score,"1, 2",10,No Score,13,No Ratio,<11,,,No Ratio,,,N/A,5,5,No Score,No Reduction,21-09-2018,DAVITA,N/A
NEW HAMPSHIRE KIDNEY CENTER (FMC),302500,-,"248 PLEASANT STREET PILLSBURY BLDG., G400",CONCORD,NH,3301,1,0,21.60%,Achievement,95.73%,Achievement,62.09%,58.59%,Achievement,79.94%,74.34%,Achievement,59.37%,67.52%,Achievement,66.46%,68.15%,Achievement,72.37%,66.79%,Achievement,10,-,9,10,-,10,5,-,0.944,130,33,34.951,1.131,50,44.215,Achievement,5,5,59,No Reduction,31-08-1977,FRESENIUS MEDICAL CARE,02-01-1980
SEACOAST DIALYSIS CENTER,302501,-,155 BORTHWICK AVE SUITE 100 ,PORTSMOUTH,NH,3801,1,3,13.36%,Achievement,98.37%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,8,-,10,6,-,0.907,64,16,17.637,0.944,29,30.705,Achievement,5,5,71,No Reduction,13-11-1981,FRESENIUS MEDICAL CARE,02-03-2011
MANCHESTER KIDNEY CENTER,302502,-,1750 ELM STREET SUITE 100 ,MANCHESTER,NH,3103,1,1,16.69%,Achievement,99.28%,Achievement,55.88%,57.01%,Achievement,78.51%,79.11%,Achievement,52.53%,51.85%,Achievement,65.52%,56.41%,Achievement,71.43%,68.67%,Achievement,10,-,9,10,-,10,6,-,0.901,96,19,21.094,0.901,30,33.295,Achievement,5,5,70,No Reduction,06-06-1988,FRESENIUS MEDICAL CARE,09-11-2012
CENTRAL NEW HAMPSHIRE KIDNEY CENTER,302503,-,87 SPRING STREET ,LACONIA,NH,3246,1,3,12.81%,Achievement,87.89%,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,9,-,9,10,-,10,9,-,0.696,52,10,14.374,0.978,10,10.221,Achievement,5,5,41,1.00%,16-02-1990,NOT A CHAIN,01-01-2010
MONADNOCK DIALYSIS CENTER,302504,-,426B WINCHESTER STREET ,KEENE,NH,3431,1,3,12.86%,Achievement,98.81%,Achievement,68.88%,66.64%,Achievement,91.44%,86.02%,Achievement,67.62%,58.61%,Achievement,70.47%,75.07%,Achievement,68.37%,63.26%,Achievement,10,-,9,10,-,10,9,-,0.69,69,13,18.848,0.677,11,16.255,Achievement,5,5,79,No Reduction,21-05-1997,FRESENIUS MEDICAL CARE,23-09-2005
FMC STRAFFORD COUNTY DIALYSIS,302505,-,27 STERLING DRIVE ,ROCHESTER,NH,3867,1,2,15.18%,Achievement,96.19%,N/A,No Rate,61.22%,N/A,No Rate,79.18%,N/A,No Rate,37.79%,N/A,No Rate,63.21%,N/A,No Rate,59.80%,N/A,9,-,9,10,-,10,5,-,0.942,81,23,24.427,1.184,30,25.328,Achievement,5,5,72,No Reduction,26-09-1998,FRESENIUS MEDICAL CARE,02-09-2009
FMC DIALYSIS SERVICES OF EXETER,302506,-,"1 HAMPTON ROAD, SUITE 109 ",EXETER,NH,3833,1,1,16.10%,Achievement,100.00%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,4,-,1.008,46,14,13.896,1.129,19,16.828,Achievement,5,5,74,No Reduction,21-06-2000,FRESENIUS MEDICAL CARE,30-08-2002
NASHUA DIALYSIS,302507,-,38 TYLER STREET ,NASHUA,NH,3061,1,3,12.96%,Achievement,96.12%,Achievement,65.10%,62.23%,Achievement,82.79%,85.67%,Achievement,62.53%,65.84%,Achievement,75.43%,67.44%,Achievement,74.17%,70.80%,Achievement,8,-,9,10,-,10,6,-,0.913,152,37,40.51,1.177,51,43.337,Achievement,5,5,52,0.50%,01-02-2002,DAVITA,02-01-2012
FRESENIUS MEDICAL CARE OF LANCASTER,302508,-,173 MIDDLE STREET ,LANCASTER,NH,3584,1,0,23.38%,Achievement,98.30%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,6,-,0.865,47,13,15.036,0.614,7,11.402,Achievement,5,5,69,No Reduction,01-10-2005,FRESENIUS MEDICAL CARE,01-01-2010
FRESENIUS MEDICAL CARE OF LEBANON,302509,-,56 ETNA ROAD ,LEBANON,NH,3766,1,0,29.31%,Achievement,97.18%,Improvement,52.86%,49.04%,Improvement,78.01%,74.53%,Achievement,38.44%,49.74%,Achievement,42.96%,46.86%,Achievement,50.90%,49.23%,Achievement,10,-,9,10,-,10,3,-,1.101,115,34,30.874,0.923,29,31.429,Achievement,5,5,52,0.50%,01-10-2005,FRESENIUS MEDICAL CARE,19-12-2007
FRESENIUS MEDICAL CARE LONDONDERRY,302510,-,1F COMMON DRIVE ,LONDONDERRY,NH,3053,1,4,12.25%,Achievement,97.72%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,1,-,1.269,32,13,8.871,0.367,3,8.171,Achievement,5,5,72,No Reduction,18-05-2009,FRESENIUS MEDICAL CARE,19-05-2009
STEAM DIALYSIS (DERRY),302511,-,1 ACTION BLVD SUITE2 ,LONDONDERRY,NH,3053,1,4,12.26%,Achievement,95.19%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,6,-,0.901,33,8,8.232,0.821,7,8.521,Achievement,5,5,73,No Reduction,25-03-2010,DAVITA,02-03-2010
FRESENIUS MEDICAL CARE OF MOUNT WASHINGTON VALLEY,302512,-,21 B POLIQUIN DRIVE ,CONWAY,NH,3818,1,2,15.22%,Achievement,99.42%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,-,9,10,-,10,10,-,0.562,29,4,7.121,0.185,1,5.406,Achievement,5,5,81,No Reduction,21-09-2012,FRESENIUS MEDICAL CARE,10-11-2014
BEDFORD DIALYSIS DAVITA,302513,-,"15 CONSTITUTION DR, SUITE 1C ",BEDFORD,NH,3110,1,7,7.78%,Achievement,98.19%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,-,9,10,-,10,5,-,0.923,68,15,16.254,0.976,16,16.394,Achievement,5,5,63,No Reduction,05-02-2013,DAVITA,02-05-2016
FRESENIUS MEDICAL CARE OF COCHECO RIVER,302514,-,343 SIXTH STREET ,DOVER,NH,3820,1,6,8.89%,Achievement,99.61%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,7,-,0.798,43,10,12.534,0.818,10,12.227,Achievement,5,5,81,No Reduction,12-03-2013,FRESENIUS MEDICAL CARE,20-03-2018
FRESENIUS MEDICAL CARE SOUTHERN NH DIALYSIS CENTER,302515,-,586 NASHUA ST UNIT #20,MILFORD,NH,3055,1,4,11.88%,Achievement,98.87%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,5,-,0.967,34,9,8.625,1.456,14,9.614,Achievement,5,5,75,No Reduction,06-05-2013,FRESENIUS MEDICAL CARE,06-05-2013
BIO-MEDICAL APPLICATIONS OF NEW HAMPSHIRE INC,302516,-,19 KEEWADIN DRIVE SUITE 1 ,SALEM,NH,3079,1,0,19.91%,Achievement,96.69%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,2,-,1.146,91,29,25.308,0.908,21,23.122,Achievement,5,5,52,0.50%,19-02-2014,FRESENIUS MEDICAL CARE,19-02-2014
VERSAILLES DIALYSIS LLC,302517,-,18 PELHAM ROAD ,SALEM,NH,3079,1,8,5.36%,Achievement,96.18%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,-,9,10,-,10,4,-,1.047,27,10,7.859,0.37,2,5.409,Achievement,5,5,63,No Reduction,25-09-2014,DAVITA,25-09-2014
"BIO-MEDICAL APPLICATIONS OF NEW HAMPSHIRE, INC.",302518,-,20 COTTON ROAD SUITE 200,NASHUA,NH,3063,1,No Score,No Rate,N/A,95.24%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Score,"1, 9",9,No Score,"1, 9",10,No Score,13,No Ratio,<11,,,No Ratio,,,N/A,5,5,60,No Reduction,01-04-2018,FRESENIUS MEDICAL CARE,25-04-2018
TOTAL RENAL CARE INC,302519,-,903 HANOVER STREET ,MANCHESTER,NH,3104,1,No Score,No Rate,N/A,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Score,"1, 2",9,No Score,"1, 2",10,No Score,13,No Ratio,<11,,,No Ratio,,,N/A,5,5,No Score,No Reduction,02-07-2018,DAVITA,04-09-2018
EA ORANGE GEN HOSPITAL,312314,310083,310 CENTRAL AVENUE MEDICAL ARTS BUILDING - DIALYSIS,EAST ORANGE,NJ,7017,3,6,8.51%,Achievement,86.36%,Achievement,59.86%,57.31%,Achievement,71.40%,66.82%,Improvement,48.85%,48.67%,Achievement,51.22%,46.64%,Achievement,49.39%,47.88%,Achievement,5,-,9,10,-,10,0,-,1.381,165,57,41.283,1.147,49,42.721,Achievement,5,5,40,1.00%,01-09-1977,NOT A CHAIN,12-02-2018
H. FULD CAPITAL HEALTH,312315,310092,DIALYSIS UNIT 750 BRUNSWICK AVE,TRENTON,NJ,8638,3,0,38.21%,Achievement,92.80%,Achievement,55.95%,66.07%,Achievement,81.59%,77.09%,Achievement,64.81%,70.91%,Achievement,66.40%,75.94%,Achievement,71.72%,87.24%,Achievement,10,-,9,10,-,10,5,-,0.92,143,39,42.375,0.888,47,52.937,Achievement,5,5,45,1.00%,01-01-1998,NOT A CHAIN,31-12-2017
TRINITAS HOSPITAL,312318,310027,DIALYSIS UNIT 225 WILLIAMSON STREET,ELIZABETH,NJ,7207,3,0,19.51%,Achievement,89.18%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,5,-,9,10,-,10,6,-,0.873,106,26,29.768,1.17,55,47.015,Achievement,5,5,30,1.50%,24-12-1999,NOT A CHAIN,18-01-2018
ATLANTIC CITY MEDICAL CENTER,312323,310064,DIALYSIS UNIT 1925 PACIFIC AVENUE,ATLANTIC CITY,NJ,8401,3,10,0.00%,Achievement,94.05%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,2,-,1.141,36,14,11.44,1.077,16,14.86,Achievement,5,5,58,0.50%,31-08-1989,NOT A CHAIN,31-12-2017
BAYONNE HOSPITAL RENAL CENTER,312324,310025,DIALYSIS UNIT 29 EAST 29TH STREET,BAYONNE,NJ,7002,3,3,13.15%,Achievement,85.88%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,5,-,9,10,-,10,0,-,1.726,67,37,21.436,1.012,27,26.681,Achievement,5,5,27,2.00%,16-07-1990,NOT A CHAIN,22-09-2017
MOUNTAINSIDE HOSPITAL,312331,310054,DIALYSIS UNIT 1 BAY AVENUE,MONTCLAIR,NJ,7042,3,0,31.51%,Achievement,94.22%,N/A,No Rate,69.91%,N/A,No Rate,77.00%,N/A,No Rate,71.25%,N/A,No Rate,69.02%,N/A,No Rate,76.22%,N/A,10,-,9,10,-,10,2,-,1.164,196,64,54.998,1.141,71,62.249,Achievement,5,5,47,1.00%,09-11-1996,ATLANTIC HEALTH SYSTEM,31-12-2017
FMC IRVINGTON,312501,-,10 CAMPTOWN  ROAD ,IRVINGTON,NJ,7111,3,7,7.78%,Achievement,93.95%,Achievement,57.83%,57.00%,Achievement,71.08%,73.73%,Achievement,53.40%,51.58%,Achievement,47.85%,52.42%,Achievement,54.01%,50.87%,Achievement,10,-,9,10,-,10,3,-,1.085,212,56,51.615,1.325,82,61.908,Achievement,5,5,46,1.00%,01-09-1977,FRESENIUS MEDICAL CARE,31-12-2017
FMC JERSEY CITY,312502,-,107-123  PACIFIC AVENUE ,JERSEY CITY,NJ,7304,3,6,8.59%,Achievement,98.23%,Achievement,60.27%,66.31%,Achievement,64.82%,75.45%,Achievement,43.14%,45.53%,Achievement,48.17%,62.42%,Achievement,61.33%,67.88%,Achievement,10,-,9,10,-,10,2,-,1.141,175,53,46.457,1.02,55,53.942,Achievement,5,5,60,No Reduction,01-07-1973,FRESENIUS MEDICAL CARE,31-12-2017
FMC NORTH NEWARK,312503,-,155 BERKELEY AVENUE ,NEWARK,NJ,7107,3,3,13.99%,Achievement,97.94%,Achievement,52.67%,54.62%,Achievement,71.35%,77.74%,Achievement,53.02%,56.29%,Achievement,54.23%,50.65%,Achievement,53.26%,56.45%,Achievement,9,-,9,10,-,10,2,-,1.167,166,49,41.98,0.899,33,36.698,Achievement,5,5,49,0.50%,01-09-1977,FRESENIUS MEDICAL CARE,22-02-2018
FMC TRENTON,312504,-,40 FULD STREET 1ST FLOOR,TRENTON,NJ,8638,3,3,13.64%,Achievement,98.70%,Achievement,61.32%,60.35%,Achievement,70.12%,71.68%,Achievement,46.87%,47.09%,Achievement,45.69%,47.39%,Achievement,55.55%,49.50%,Achievement,10,-,9,10,-,10,1,-,1.273,123,41,32.211,1.283,43,33.528,Achievement,5,5,43,1.00%,01-10-1978,FRESENIUS MEDICAL CARE,31-12-2017
FMC NEWARK UNIV DC (MIELE),312505,-,91-101 HARTFORD STREET ,NEWARK,NJ,7103,3,7,7.66%,Achievement,98.18%,N/A,No Rate,74.24%,N/A,No Rate,80.70%,N/A,No Rate,62.71%,N/A,No Rate,76.74%,N/A,No Rate,79.31%,N/A,10,-,9,10,-,10,3,-,1.062,66,19,17.884,1.309,49,37.427,Achievement,5,5,68,No Reduction,21-01-1998,FRESENIUS MEDICAL CARE,12-02-2018
FMC HILLSIDE DIALYSIS CTR,312506,-,879 RAHWAY AVENUE RUTH KLIMAN DIALYSIS CENTER,UNION,NJ,7083,3,7,7.77%,Achievement,98.27%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,1,-,1.342,127,48,35.765,1.439,45,31.278,Improvement,5,5,55,0.50%,31-03-1980,FRESENIUS MEDICAL CARE,31-12-2017
DVA LUMBERTON DIALYSIS CTR,312508,-,1261 W. ROUTE #38 ,HAINESPORT,NJ,8036,3,8,4.97%,Achievement,98.03%,Achievement,71.70%,80.74%,Achievement,87.26%,84.15%,Achievement,69.73%,77.92%,Achievement,78.60%,85.80%,Achievement,86.00%,90.44%,Achievement,10,-,9,10,-,10,7,-,0.801,107,22,27.47,0.971,21,21.629,Achievement,5,5,77,No Reduction,01-07-1997,DAVITA,06-02-2018
FMC JOHN J DE PALMA RENAL CENTER,312509,-,1 PLAZA DRIVE ,TOMS RIVER,NJ,8757,3,2,14.80%,Achievement,98.49%,Achievement,68.32%,65.74%,Achievement,79.25%,82.66%,Achievement,73.49%,68.44%,Achievement,75.69%,72.12%,Achievement,75.92%,69.19%,Achievement,10,-,9,10,-,10,3,-,1.083,258,70,64.606,1.114,64,57.469,Achievement,5,5,63,No Reduction,29-07-1997,FRESENIUS MEDICAL CARE,31-12-2017
DVA HOLMDEL DIALYSIS CTR,312510,-,668 NORTH BEERS STREET ,HOLMDEL,NJ,7733,3,9,4.53%,Achievement,96.66%,Achievement,59.69%,62.62%,Achievement,86.40%,86.57%,Achievement,80.16%,68.40%,Achievement,63.67%,63.61%,Achievement,63.84%,69.94%,Achievement,9,-,9,10,-,10,7,-,0.806,97,22,27.286,0.988,30,30.371,Achievement,5,5,65,No Reduction,01-07-1997,DAVITA,31-12-2017
DVA CHERRY HILL DIALYSIS CTR,312513,-,1030 N KINGS HWY SUITE 100,CHERRY HILL,NJ,8034,3,8,6.12%,Achievement,98.07%,Achievement,64.16%,59.76%,Achievement,82.59%,80.07%,Achievement,66.53%,45.74%,Achievement,60.95%,57.82%,Achievement,70.16%,67.76%,Achievement,9,-,9,10,-,10,7,-,0.827,108,22,26.613,0.704,20,28.416,Achievement,5,5,77,No Reduction,12-04-1996,DAVITA,07-02-2018
FMC SALEM DIALYSIS,312514,-,#5 ROUTE 45 ,SALEM,NJ,8079,3,7,7.01%,Achievement,99.25%,Achievement,67.73%,No Rate,Achievement,83.82%,No Rate,Achievement,76.56%,No Rate,Achievement,73.16%,No Rate,Achievement,74.52%,No Rate,Achievement,10,-,9,10,-,10,9,-,0.634,52,7,11.047,1.003,31,30.909,Achievement,5,5,86,No Reduction,01-11-2000,FRESENIUS MEDICAL CARE,31-12-2017
FMC SO PLAINFIELD,312515,-,2201 S CLINTON AVE ,SOUTH PLAINFIELD,NJ,7080,3,10,3.07%,Achievement,99.72%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,7,-,0.839,66,13,15.492,1.163,22,18.911,Achievement,5,5,83,No Reduction,31-10-1994,FRESENIUS MEDICAL CARE,31-12-2017
FMC PRINCETON,312516,-,707 ALEXANDER ROAD BUILDING 3; SUITE 301,PRINCETON,NJ,8540,3,0,17.33%,Achievement,100.00%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,6,-,0.913,36,8,8.352,0.753,9,11.953,Achievement,5,5,76,No Reduction,15-11-1994,FRESENIUS MEDICAL CARE,31-12-2017
DVA FREEHOLD AKC,312517,-,300 CRAIG ROAD CENTURY OFFICE PARK ,MANALAPAN,NJ,7726,3,4,11.51%,Achievement,96.75%,Achievement,70.22%,65.13%,Achievement,87.82%,82.20%,Achievement,64.10%,73.99%,Achievement,73.99%,71.48%,Achievement,82.39%,78.11%,Achievement,10,-,9,10,-,10,0,-,1.299,88,28,21.557,1.097,31,28.265,Achievement,5,5,62,No Reduction,01-07-1997,DAVITA,31-12-2017
FMC COLONIA DIALYSIS CTR,312518,-,1250 ROUTE 27 ,COLONIA,NJ,7067,3,3,12.56%,Achievement,98.80%,Achievement,65.82%,73.69%,Achievement,78.50%,85.14%,Achievement,69.64%,69.73%,Achievement,69.44%,80.22%,Achievement,85.34%,86.63%,Achievement,10,-,9,10,-,10,3,-,1.08,75,21,19.451,1.047,26,24.827,Achievement,5,5,69,No Reduction,18-04-1995,FRESENIUS MEDICAL CARE,31-12-2016
DVA NEPTUNE AKC,312520,-,300 WEST SYLVANIA AVENUE SUITE 1,NEPTUNE,NJ,7753,3,8,4.98%,Achievement,97.88%,Achievement,68.57%,79.83%,Achievement,83.03%,84.83%,Achievement,56.35%,56.55%,Achievement,73.72%,77.16%,Achievement,75.58%,86.86%,Achievement,10,-,9,10,-,10,4,-,1.035,113,30,28.986,1.288,42,32.611,Achievement,5,5,62,No Reduction,01-07-1997,DAVITA,15-02-2018
DVA DELRAN,312521,-,8008 ROUTE 130 NORTH ,DELRAN,NJ,8075,3,9,3.21%,Achievement,97.30%,Achievement,73.18%,72.63%,Achievement,89.41%,91.96%,Achievement,81.70%,75.38%,Achievement,83.95%,73.14%,Achievement,92.95%,85.48%,Achievement,10,-,9,10,-,10,0,-,1.791,64,28,15.636,1.19,22,18.486,Achievement,5,5,70,No Reduction,01-07-1997,DAVITA,19-01-2018
DVA EAST ORANGE AKC,312522,-,14-20 PROSPECT STREET ,EAST ORANGE,NJ,7017,3,6,8.22%,Achievement,97.42%,Achievement,70.63%,63.15%,Achievement,80.02%,74.92%,Achievement,54.75%,45.39%,Improvement,65.51%,63.10%,Achievement,65.75%,72.40%,Achievement,10,-,9,10,-,10,6,-,0.897,103,21,23.403,1.175,29,24.691,Achievement,5,5,65,No Reduction,01-07-1997,DAVITA,31-12-2017
